xoo-o-xx- [0] [0] [0] [106] [0] [1] [0] [0] [154] 
xoo--oxx- [0] [0] [0] [1] [0] [0] [0] [0] [112] 
xoo---xxo [0] [0] [0] [82] [1] [32] [0] [0] [0] 
xoo-o-x-x [0] [0] [0] [448] [0] [0] [0] [4] [0] 
xoo--ox-x [0] [0] [0] [145] [1] [0] [0] [1] [0] 
xo--ooxx- [0] [0] [1] [79] [0] [0] [0] [0] [91] 
xo--o-xxo [0] [0] [143] [4] [0] [31] [0] [0] [0] 
xo--oox-x [0] [0] [0] [1] [0] [0] [0] [88] [0] 
xo---oxxo [0] [0] [10] [112] [0] [0] [0] [0] [0] 
xoo-o--xx [0] [0] [0] [1] [0] [7] [313] [0] [0] 
xoo---oxx [0] [0] [0] [1] [274] [0] [0] [0] [0] 
xo--o-oxx [0] [0] [4709] [0] [0] [0] [0] [0] [0] 
xxoxoo--- [0] [0] [0] [0] [0] [0] [151] [0] [0] 
xxoxo--o- [0] [0] [0] [0] [0] [1] [124] [0] [0] 
xxoxo---o [0] [0] [0] [0] [0] [1] [154] [0] [0] 
xxo-ox-o- [0] [0] [0] [1] [0] [0] [128] [0] [0] 
xxo-ox--o [0] [0] [0] [0] [0] [0] [114] [0] [0] 
xxo-oox-- [0] [0] [0] [73] [0] [0] [0] [0] [0] 
xxo-o-x-o [0] [0] [0] [157] [0] [48] [0] [0] [0] 
xxo-oo-x- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xxo-o--xo [0] [0] [0] [0] [0] [0] [2] [0] [0] 
xxox-oo-- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xxox-o-o- [0] [0] [0] [0] [0] [0] [1] [0] [4] 
xxo-xoo-- [0] [0] [0] [0] [0] [0] [0] [7] [673] 
xxo-xo-o- [0] [0] [0] [0] [0] [0] [13] [0] [148] 
xxo--oox- [0] [0] [0] [0] [49] [0] [0] [0] [22] 
xxox--o-o [0] [0] [0] [0] [0] [1] [0] [1] [0] 
xxo-x-oo- [0] [0] [0] [0] [0] [1] [0] [0] [3391] 
xxo-x-o-o [0] [0] [0] [0] [0] [4] [0] [490] [0] 
xxo--xoo- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xxo--xo-o [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xxo---oxo [0] [0] [0] [1] [7] [0] [0] [0] [0] 
xxox---oo [0] [0] [0] [0] [0] [4] [1] [0] [0] 
xxo-x--oo [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xxo--x-oo [0] [0] [0] [0] [1] [0] [77] [0] [0] 
x-oxox-o- [0] [0] [0] [0] [0] [0] [67] [0] [0] 
x-oxox--o [0] [0] [0] [0] [0] [0] [19] [0] [0] 
x-oxoo-x- [0] [0] [0] [0] [0] [0] [37] [0] [1] 
x-oxo--xo [0] [0] [0] [0] [0] [19] [1] [0] [0] 
x-oxxo-o- [0] [1] [0] [0] [0] [0] [118] [0] [1033] 
x-oxx--oo [0] [0] [0] [0] [0] [34] [460] [0] [0] 
x-ox-x-oo [0] [1] [0] [0] [43] [0] [19] [0] [0] 
x-o-xoox- [0] [739] [0] [1] [0] [0] [0] [0] [1231] 
x-o-xxo-o [0] [0] [0] [139] [0] [0] [0] [2164] [0] 
x-o-xx-oo [0] [0] [0] [745] [0] [0] [433] [0] [0] 
x-o-oxx-o [0] [66] [0] [1] [0] [0] [0] [1] [0] 
x-o-ox-xo [0] [0] [0] [0] [0] [0] [270] [0] [0] 
x-o--xoxo [0] [0] [0] [0] [175] [0] [0] [0] [0] 
x-o-ooxx- [0] [0] [0] [55] [0] [0] [0] [0] [22] 
xx-xoo-o- [0] [0] [34] [0] [0] [0] [22] [0] [7] 
xx-xoo--o [0] [0] [70] [0] [0] [0] [7] [1] [0] 
xx--oo-xo [0] [0] [7] [0] [0] [0] [1] [0] [0] 
xx--ox-oo [0] [0] [34] [4] [0] [0] [19] [0] [0] 
xx-x-o-oo [0] [0] [1] [0] [0] [0] [4] [0] [0] 
